iter	Passed	Remaining
0	56	84992
1	110	83129
2	166	83180
3	223	83475
4	282	84460
5	335	83600
6	389	83075
7	444	82902
8	498	82575
9	549	81885
10	596	80710
11	647	80312
12	699	80017
13	751	79760
14	800	79248
15	854	79233
16	909	79312
17	957	78834
18	1007	78500
19	1059	78384
20	1107	77976
21	1158	77861
22	1207	77571
23	1260	77551
24	1311	77361
25	1364	77355
26	1412	77050
27	1464	76982
28	1518	77042
29	1571	76989
30	1622	76902
31	1674	76829
32	1723	76632
33	1775	76557
34	1826	76435
35	1879	76443
36	1935	76542
37	1983	76319
38	2032	76157
39	2081	75964
40	2128	75751
41	2174	75487
42	2220	75255
43	2271	75175
44	2317	74930
45	2365	74770
46	2413	74598
47	2457	74352
48	2510	74329
49	2559	74228
50	2598	73838
51	2646	73700
52	2694	73563
53	2741	73420
54	2782	73092
55	2817	72654
56	2862	72458
57	2911	72377
58	2952	72111
59	3002	72071
60	3054	72044
61	3099	71878
62	3146	71772
63	3196	71727
64	3244	71619
65	3295	71594
66	3332	71279
67	3381	71205
68	3431	71158
69	3478	71070
70	3529	71044
71	3578	70966
72	3628	70925
73	3677	70870
74	3728	70837
75	3779	70809
76	3828	70751
77	3878	70700
78	3928	70671
79	3978	70624
80	4029	70588
81	4080	70559
82	4133	70562
83	4183	70527
84	4233	70473
85	4277	70333
86	4325	70246
87	4372	70151
88	4419	70064
89	4464	69948
90	4509	69826
91	4557	69750
92	4603	69648
93	4651	69572
94	4696	69466
95	4744	69391
96	4788	69266
97	4837	69203
98	4887	69169
99	4934	69084
100	4980	68988
101	5013	68713
102	5045	68429
103	5093	68363
104	5146	68371
105	5190	68265
106	5230	68091
107	5274	67978
108	5321	67906
109	5369	67850
110	5414	67755
111	5460	67669
112	5502	67535
113	5544	67405
114	5591	67337
115	5635	67234
116	5677	67109
117	5720	67001
118	5763	66891
119	5801	66718
120	5848	66651
121	5894	66583
122	5944	66548
123	5997	66557
124	6036	66403
125	6083	66339
126	6122	66190
127	6160	66032
128	6210	66008
129	6325	66663
130	6367	66545
131	6415	66485
132	6463	66436
133	6514	66406
134	6563	66359
135	6612	66317
136	6660	66260
137	6711	66242
138	6759	66188
139	6795	66014
140	6833	65859
141	6881	65809
142	6930	65769
143	6973	65663
144	7020	65604
145	7068	65549
146	7116	65500
147	7160	65408
148	7210	65378
149	7256	65311
150	7307	65284
151	7353	65215
152	7402	65167
153	7451	65131
154	7500	65083
155	7546	65014
156	7591	64941
157	7639	64887
158	7691	64866
159	7739	64816
160	7786	64761
161	7835	64718
162	7885	64682
163	7933	64631
164	7981	64578
165	8032	64553
166	8070	64415
167	8118	64367
168	8174	64381
169	8220	64314
170	8254	64151
171	8299	64076
172	8329	63889
173	8376	63831
174	8423	63775
175	8466	63689
176	8510	63615
177	8554	63533
178	8591	63405
179	8639	63353
180	8688	63313
181	8734	63253
182	8795	63298
183	8843	63247
184	8887	63169
185	8935	63126
186	8978	63042
187	9024	62980
188	9069	62908
189	9119	62873
190	9166	62823
191	9212	62762
192	9260	62709
193	9310	62679
194	9349	62571
195	9400	62540
196	9448	62495
197	9493	62429
198	9544	62399
199	9592	62352
200	9638	62293
201	9683	62222
202	9732	62180
203	9779	62127
204	9830	62101
205	9879	62059
206	9923	61987
207	9972	61943
208	10020	61897
209	10071	61865
210	10125	61854
211	10178	61839
212	10226	61793
213	10281	61786
214	10345	61830
215	10403	61842
216	10469	61898
217	10531	61930
218	10603	62024
219	10688	62187
220	10775	62359
221	10890	62692
222	10944	62672
223	11013	62736
224	11073	62750
225	11123	62704
226	11173	62660
227	11226	62631
228	11277	62593
229	11326	62542
230	11377	62502
231	11426	62451
232	11474	62396
233	11524	62350
234	11560	62230
235	11611	62190
236	11664	62160
237	11717	62133
238	11765	62077
239	11819	62049
240	11877	62048
241	11937	62056
242	11994	62047
243	12055	62053
244	12112	62046
245	12173	62055
246	12231	62049
247	12289	62043
248	12342	62009
249	12396	61982
250	12443	61922
251	12495	61882
252	12552	61870
253	12617	61893
254	12675	61887
255	12736	61890
256	12792	61870
257	12847	61845
258	12899	61809
259	12955	61788
260	13010	61764
261	13063	61725
262	13116	61693
263	13180	61706
264	13246	61735
265	13316	61775
266	13379	61787
267	13422	61703
268	13481	61693
269	13540	61683
270	13595	61655
271	13647	61615
272	13705	61601
273	13765	61595
274	13821	61569
275	13877	61543
276	13925	61483
277	13982	61461
278	14039	61439
279	14084	61369
280	14133	61313
281	14191	61294
282	14244	61257
283	14304	61247
284	14355	61201
285	14416	61193
286	14476	61186
287	14538	61181
288	14606	61206
289	14665	61190
290	14729	61197
291	14788	61179
292	14855	61197
293	14917	61192
294	15047	61464
295	15117	61491
296	15164	61422
297	15219	61389
298	15275	61357
299	15332	61331
300	15389	61303
301	15448	61281
302	15515	61292
303	15594	61352
304	15652	61326
305	15716	61326
306	15773	61295
307	15829	61262
308	15889	61245
309	15963	61279
310	16031	61292
311	16088	61260
312	16145	61228
313	16190	61152
314	16252	61140
315	16319	61145
316	16380	61129
317	16438	61101
318	16494	61067
319	16548	61022
320	16603	60981
321	16668	60979
322	16732	60971
323	16790	60943
324	16853	60933
325	16949	61040
326	17024	61070
327	17109	61134
328	17212	61264
329	17475	61959
330	17554	61995
331	17622	61996
332	17692	62004
333	17835	62264
334	17895	62234
335	17956	62207
336	18013	62166
337	18067	62114
338	18118	62053
339	18171	61995
340	18228	61956
341	18282	61904
342	18343	61877
343	18398	61826
344	18448	61762
345	18502	61709
346	18561	61674
347	18625	61657
348	18692	61648
349	18751	61610
350	18804	61557
351	18853	61487
352	18908	61439
353	18972	61419
354	19026	61365
355	19081	61316
356	19126	61238
357	19174	61167
358	19229	61115
359	19289	61083
360	19335	61004
361	19385	60940
362	19435	60877
363	19486	60815
364	19535	60747
365	19596	60716
366	19654	60675
367	19714	60642
368	19764	60578
369	19814	60514
370	19861	60440
371	19909	60369
372	19955	60295
373	20002	60222
374	20063	60190
375	20133	60187
376	20177	60105
377	20222	60026
378	20273	59965
379	20332	59927
380	20386	59876
381	20442	59828
382	20492	59764
383	20542	59700
384	20583	59610
385	20641	59572
386	20699	59531
387	20749	59466
388	20799	59403
389	20843	59324
390	20884	59234
391	20946	59206
392	21001	59157
393	21053	59098
394	21103	59035
395	21152	58971
396	21217	58950
397	21275	58909
398	21326	58849
399	21373	58775
400	21418	58699
401	21470	58643
402	21533	58615
403	21605	58612
404	21745	58792
405	21830	58824
406	22075	59284
407	22144	59267
408	22202	59224
409	22256	59169
410	22308	59108
411	22363	59058
412	22423	59019
413	22476	58961
414	22529	58902
415	22572	58818
416	22622	58753
417	22671	58684
418	22720	58618
419	22775	58564
420	22826	58502
421	22878	58443
422	22928	58378
423	22986	58333
424	23030	58253
425	23084	58197
426	23142	58153
427	23196	58100
428	23256	58058
429	23307	57998
430	23362	57944
431	23411	57877
432	23468	57832
433	23536	57811
434	23586	57747
435	23638	57685
436	23687	57620
437	23739	57560
438	23792	57502
439	23833	57416
440	23895	57380
441	23951	57331
442	23997	57258
443	24050	57200
444	24096	57128
445	24145	57060
446	24193	56993
447	24245	56933
448	24297	56874
449	24353	56825
450	24399	56751
451	24450	56690
452	24504	56635
453	24558	56582
454	24609	56520
455	24660	56459
456	24708	56390
457	24815	56458
458	24869	56402
459	24916	56333
460	24962	56260
461	25008	56188
462	25056	56120
463	25106	56056
464	25157	55995
465	25207	55932
466	25255	55865
467	25303	55796
468	25355	55738
469	25394	55650
470	25445	55590
471	25494	55526
472	25543	55462
473	25596	55404
474	25644	55338
475	25698	55283
476	25744	55213
477	25792	55146
478	25843	55085
479	25893	55024
480	25949	54973
481	26003	54919
482	26055	54861
483	26118	54826
484	26255	54947
485	26319	54914
486	26383	54879
487	26450	54852
488	26514	54819
489	26584	54797
490	26651	54767
491	26721	54746
492	26792	54727
493	26852	54683
494	26914	54643
495	26972	54597
496	27033	54557
497	27092	54511
498	27146	54455
499	27210	54421
500	27273	54384
501	27330	54334
502	27387	54284
503	27440	54228
504	27495	54174
505	27560	54139
506	27621	54099
507	27676	54045
508	27741	54011
509	27807	53979
510	27876	53953
511	27934	53905
512	27992	53856
513	28050	53808
514	28107	53758
515	28162	53705
516	28215	53647
517	28269	53591
518	28328	53546
519	28385	53495
520	28445	53451
521	28498	53394
522	28556	53346
523	28608	53286
524	28665	53235
525	28725	53192
526	28787	53150
527	28846	53103
528	28902	53051
529	28951	52986
530	29008	52936
531	29066	52887
532	29122	52835
533	29180	52786
534	29239	52741
535	29298	52692
536	29357	52647
537	29421	52608
538	29482	52564
539	29537	52510
540	29587	52447
541	29651	52410
542	29713	52367
543	29774	52323
544	29834	52279
545	29900	52243
546	29965	52207
547	30033	52175
548	30103	52145
549	30173	52117
550	30226	52059
551	30295	52029
552	30357	51986
553	30425	51954
554	30490	51915
555	30558	51884
556	30630	51857
557	30700	51828
558	30760	51781
559	30832	51755
560	30900	51721
561	30969	51689
562	31031	51646
563	31099	51612
564	31158	51563
565	31222	51522
566	31284	51478
567	31348	51437
568	31416	51403
569	31485	51371
570	31546	51325
571	31614	51290
572	31687	51263
573	31755	51229
574	31822	51192
575	31891	51159
576	31955	51117
577	32019	51075
578	32083	51034
579	32138	50977
580	32202	50936
581	32250	50869
582	32306	50814
583	32369	50771
584	32434	50730
585	32535	50746
586	32682	50832
587	32805	50882
588	32910	50902
589	32977	50864
590	33048	50831
591	33112	50787
592	33172	50738
593	33237	50696
594	33290	50634
595	33343	50574
596	33391	50507
597	33448	50452
598	33497	50386
599	33625	50437
600	33681	50382
601	33733	50320
602	33786	50259
603	33837	50196
604	33885	50128
605	33935	50063
606	33984	49996
607	34035	49933
608	34084	49867
609	34135	49803
610	34184	49737
611	34233	49672
612	34286	49612
613	34333	49542
614	34382	49476
615	34433	49414
616	34483	49349
617	34532	49284
618	34580	49216
619	34636	49160
620	34691	49104
621	34743	49043
622	34797	48984
623	34846	48918
624	34896	48855
625	34981	48840
626	35035	48781
627	35082	48713
628	35135	48653
629	35188	48594
630	35238	48529
631	35288	48466
632	35337	48400
633	35387	48337
634	35436	48271
635	35483	48203
636	35531	48138
637	35583	48077
638	35636	48016
639	35684	47950
640	35733	47886
641	35772	47808
642	35824	47747
643	35878	47689
644	35929	47626
645	35978	47562
646	36023	47493
647	36068	47424
648	36117	47359
649	36163	47290
650	36214	47229
651	36262	47163
652	36306	47092
653	36353	47025
654	36398	46957
655	36443	46887
656	36477	46804
657	36521	46734
658	36565	46664
659	36609	46593
660	36657	46529
661	36709	46468
662	36758	46405
663	36806	46340
664	36850	46270
665	36901	46209
666	36949	46145
667	37000	46084
668	37046	46017
669	37091	45948
670	37139	45884
671	37189	45823
672	37241	45763
673	37290	45699
674	37327	45622
675	37377	45561
676	37426	45497
677	37477	45437
678	37526	45374
679	37572	45308
680	37622	45246
681	37673	45185
682	37726	45128
683	37776	45067
684	37806	44981
685	37845	44907
686	37885	44833
687	37934	44771
688	37983	44709
689	38028	44642
690	38081	44584
691	38129	44520
692	38180	44461
693	38226	44396
694	38275	44333
695	38327	44274
696	38375	44211
697	38425	44150
698	38477	44092
699	38526	44030
700	38574	43966
701	38622	43903
702	38673	43844
703	38724	43784
704	38772	43722
705	38824	43664
706	38872	43600
707	38920	43538
708	38969	43476
709	39012	43407
710	39059	43344
711	39110	43285
712	39157	43221
713	39212	43166
714	39263	43107
715	39302	43035
716	39367	42991
717	39417	42930
718	39468	42871
719	39521	42815
720	39572	42755
721	39620	42694
722	39671	42634
723	39714	42566
724	39764	42506
725	39814	42446
726	39862	42384
727	39909	42321
728	39960	42263
729	40007	42199
730	40058	42140
731	40107	42080
732	40154	42016
733	40202	41955
734	40250	41892
735	40299	41832
736	40346	41769
737	40391	41705
738	40441	41645
739	40492	41586
740	40544	41529
741	40590	41466
742	40638	41403
743	40689	41345
744	40734	41281
745	40781	41218
746	40829	41157
747	40876	41095
748	40927	41036
749	40974	40974
750	41022	40913
751	41070	40851
752	41116	40788
753	41163	40726
754	41211	40665
755	41258	40603
756	41305	40541
757	41353	40481
758	41401	40420
759	41438	40348
760	41495	40296
761	41544	40236
762	41591	40173
763	41637	40111
764	41693	40058
765	41743	39999
766	41787	39935
767	41835	39874
768	41885	39815
769	41966	39786
